ID,N_VICTIMAS,HORA_ACCIDENTE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,ACUSADO,FECHA_ACCIDENTE,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,SEMESTRE,ANIO
2020-0042,1,17:10:00,Diaz Ana Y Soldado De La Frontera Av.,Avenida,8,-58.46745752,-34.68192648,Peaton-Pasajeros,Pasajeros,2020-09-29,Peaton,Peaton,Femenino,53,2020-09-29 00:00:00,2,2020
2020-0043,1,17:20:00,Alem Leandro N. Av. Y Paraguay,Avenida,1,-58.37202621,-34.59717942,Peaton-Pasajeros,Pasajeros,2020-09-30,Peaton,Peaton,Masculino,64,2020-09-30 00:00:00,2,2020
2020-0044,1,00:20:00,La Plata Av. E Independencia,Avenida,6,-58.42779702,-34.62207347,Auto-Auto,Auto,2020-10-05,Conductor,Auto,Masculino,43,2020-10-05 00:00:00,2,2020
2020-0045,1,03:00:00,Paz Gral. Av. Y 27 De Febrero Av.,Gral Paz,8,-58.46244952,-34.70524971,Auto-Cargas,Cargas,2020-10-19,Conductor,Auto,Masculino,50,2020-10-19 00:00:00,2,2020
2020-0046,1,21:00:00,Nazca Av. Y Carranza Adolfo P.,Avenida,11,-58.48440160,-34.60776782,Moto-Moto,Moto,2020-10-27,Conductor,Moto,Masculino,41,2020-10-27 00:00:00,2,2020
2020-0047,1,14:00:00,Autopista Campora Altura Lacarra Av.,Autopista,9,-58.46668375,-34.65174801,Peaton-Cargas,Cargas,2020-10-27,Peaton,Peaton,Masculino,15,2020-10-27 00:00:00,2,2020
2020-0048,1,20:20:00,Dorrego Av. 614,Avenida,15,-58.44958780,-34.59322448,Moto-Objeto Fijo,Objeto Fijo,2020-10-29,Conductor,Moto,Masculino,41,2020-10-29 00:00:00,2,2020
2020-0049,1,20:00:00,Del Libertador Av. Y Ramos Mejia Jose Maria Dr. Av.,Avenida,1,-58.37533517,-34.59276462,Peaton-Auto,Auto,2020-10-30,Peaton,Peaton,Masculino,36,2020-10-30 00:00:00,2,2020
2020-0050,1,22:00:00,Santa Fe Av. Y Godoy Cruz,Avenida,14,-58.42525456,-34.57866344,Peaton-Moto,Moto,2020-11-01,Peaton,Peaton,Femenino,28,2020-11-01 00:00:00,2,2020
2020-0051,1,00:40:00,Avellaneda Av. Y Mercedes,Avenida,10,-58.48493828,-34.62981124,Moto-Auto,Auto,2020-11-05,Conductor,Moto,Masculino,49,2020-11-05 00:00:00,2,2020
2020-0052,1,06:50:00,Tucuman Y Pueyrredon Av.,Avenida,3,-58.40480504,-34.60183884,Bicicleta-Cargas,Cargas,2020-11-07,Ciclista,Bicicleta,Masculino,44,2020-11-07 00:00:00,2,2020
